name,reaches_zero_s,freeze_complete_s,reaches_target_s,reason_unreachable
Ceramic Mug,10937.944993191764,37973.82462282139,41338.32475686748,
Espresso Shot,3788.557316326855,13058.001760771298,14211.544663872814,
Open Pan,4435.170210588552,15028.821004239346,16118.69844991712,
Vacuum Flask,41725.024949576626,147661.53288608455,160844.88035010186,
