t_s,temp_c
0,90
30,89.47055325194272
60,88.94370200258015
90,88.41943352803872
120,87.89773516682096
150,87.37859431949964
180,86.86199844841346
210,86.34793507736438
240,85.83639179131622
270,85.32735623609479
300,84.82081611808964
330,84.31675920395705
360,83.8151733203247
390,83.31604635349753
420,82.8193662491653
450,82.32512101211145
480,81.83329870592334
510,81.34388745270407
540,80.85687543278551
570,80.37225088444299
600,79.89000210361111
630,79.41011744360114
660,78.93258531481973
690,78.45739418448902
720,77.98453257636812
750,77.51398907047594
780,77.04575230281536
810,76.57981096509886
840,76.11615380447529
870,75.65476962325828
900,75.1956472786556
930,74.73877568250026
960,74.28414380098253
990,73.83174065438365
1020,73.38155531681048
1050,72.93357691593175
1080,72.48779463271549
1110,72.04419770116765
1140,71.60277540807219
1170,71.16351709273226
1200,70.72641214671286
1230,70.29145001358447
1260,69.85862018866821
1290,69.4279122187822
1320,68.99931570198893
1350,68.57282028734424
1380,68.1484156746472
1410,67.72609161419138
1440,67.30583790651735
1470,66.88764440216636
1500,66.47150100143516
1530,66.05739765413213
1560,65.64532435933457
1590,65.2352711651471
1620,64.82722816846142
1650,64.42118551471705
1680,64.01713339766341
1710,63.615062059122934
1740,63.214961788755375
1770,62.81682292382341
1800,62.420635848959165
1830,62.02639099593202
1860,61.63407884341761
1890,61.24368991676775
1920,60.855214787781705
1950,60.468644074478476
1980,60.083968440870166
2010,59.7011785967366
2040,59.32026529740085
2070,58.94121934350609
2100,58.5640315807933
2130,58.18869289988028
2160,57.815194236041606
2190,57.443526568989725
2220,57.07368092265709
2250,56.705648364979396
2280,56.33942000767986
2310,55.974987006054576
2340,55.61234055875889
2370,55.25147190759482
2400,54.89237233729959
2430,54.5350331753351
2460,54.179445791678546
2490,53.8256015986139
2520,53.47349205052461
2550,53.12310864368712
2580,52.774442916065595
2610,52.42748644710748
2640,52.08223085754018
2670,51.73866780916866
2700,51.396789004674105
2730,51.05658618741353
2760,50.71805114122036
2790,50.38117569020598
2820,50.045951698562334
2850,49.71237107036542
2880,49.38042574937974
2910,49.050107718863785
2940,48.72140900137636
2970,48.39432165858396
3000,48.068837791069086
3030,47.744949538139394
3060,47.42264907763794
3090,47.10192862575417
3120,46.78278043683599
3150,46.46519680320273
3180,46.14917005495896
3210,45.83469255980921
3240,45.521756722873775
3270,45.21035498650515
3300,44.900479830105596
3330,44.59212376994549
3360,44.28527935898256
3390,43.97993918668207
3420,43.676095878837835
3450,43.37374209739414
3480,43.07287054026848
3510,42.773473941175254
3540,42.47554506945026
3570,42.17907672987609
3600,41.884061762508274
3630,41.59049304250252
3660,41.298363479942495
3690,41.00766601966866
3720,40.718393641107895
3750,40.430539358103886
3780,40.1440962187485
3810,39.859057305213824
3840,39.57541573358506
3870,39.293164653694404
3900,39.01229724895543
3930,38.732806736198626
3960,38.4546863655075
3990,38.17792942005553
4020,37.90252921594406
4050,37.62847910204073
4080,37.355772459818986
4110,37.08440270319816
4140,36.8143632783844
4170,36.545647663712444
4200,36.27824936948808
4230,36.012161937831436
4260,35.74737894252099
4290,35.4838939888384
4320,35.221700713414045
4350,34.96079278407335
4380,34.70116389968388
4410,34.44280779000312
4440,34.1857182155271
4470,33.92988896733965
4500,33.67531386696249
4530,33.42198676620598
4560,33.16990154702068
4590,32.91905212134956
4620,32.66943243098097
4650,32.42103644740235
4680,32.17385817165463
4710,31.92789163418731
4740,31.683130894714374
4770,31.439570042070763
4800,31.1972031940696
4830,30.956024497360225
4860,30.716028127286705
4890,30.477208287747267
4920,30.239559211054278
4950,30.00307515779493
4980,29.76775041669267
5010,29.53357930446925
5040,29.300556165707448
5070,29.068675372714537
5100,28.83793132538632
5130,28.608318451071916
5160,28.379831204439157
5190,28.152464067340674
5220,27.926211548680634
5250,27.70106818428212
5280,27.47702853675515
5310,27.2540871953654
5340,27.032238775903487
5370,26.811477920554957
5400,26.591799297770898
5430,26.373197602139165
5460,26.155667554256233
5490,25.939203900599757
5520,25.72380141340163
5550,25.509454890521745
5580,25.29615915532238
5610,25.083909056543156
5640,24.87269946817665
5670,24.66252528934458
5700,24.45338144417463
5730,24.24526288167783
5760,24.038164575626645
5790,23.83208152443347
5820,23.62700875102997
5850,23.42294130274677
5880,23.21987425119393
5910,23.017802692141856
5940,22.81672174540288
5970,22.616626554713413
6000,22.417512287616653
6030,22.219374135345873
6060,22.022207312708296
6090,21.826007057969527
6120,21.63076863273853
6150,21.436487321853207
6180,21.243158433266572
6210,21.05077729793333
6240,20.859339269697216
6270,20.668839725178735
6300,20.479274063663517
6330,20.290637706991184
6360,20.102926099444836
6390,19.916134707640964
6420,19.730259020420014
6450,19.545294548737417
6480,19.36123682555518
6510,19.178081405733998
6540,18.9958238659259
6570,18.814459804467432
6600,18.633984841273346
6630,18.454394617730834
6660,18.275684796594213
6690,18.097851061880256
6720,17.92088911876388
6750,17.744794693474475
